"","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE"
"1","Patel, Dhruvil","SR-4","North Central (Ill.)","24:24.5","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"2","Baldonado, Al","SR-4","North Central (Ill.)","24:29.7","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"3","Buechner, Chris","SR-4","North Central (Ill.)","24:41.2","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"4","Osmulski, Matt","JR-3","North Central (Ill.)","24:44.5","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"5","Hird, Zach","SR-4","North Central (Ill.)","24:55.5","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"6","McKenna, Nolan","SR-4","North Central (Ill.)","25:22.4","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"7","Norvell, Matthew","SR-4","North Central (Ill.)","25:30.9","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"8","Buechner, Chris","SR-4","North Central (Ill.)","24:35.4","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"9","Hird, Zach","SR-4","North Central (Ill.)","24:39.4","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"10","Patel, Dhruvil","SR-4","North Central (Ill.)","24:40.3","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"11","Baldonado, Al","SR-4","North Central (Ill.)","24:40.9","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"12","Osmulski, Matt","JR-3","North Central (Ill.)","24:46.7","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"13","McKenna, Nolan","SR-4","North Central (Ill.)","25:15.7","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"14","Norvell, Matthew","SR-4","North Central (Ill.)","25:28.3","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"15","Patel, Dhruvil","SR-4","North Central (Ill.)","23:55.3","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"16","Osmulski, Matt","JR-3","North Central (Ill.)","24:16.6","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"17","Baldonado, Al","SR-4","North Central (Ill.)","24:17.2","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"18","McKenna, Nolan","SR-4","North Central (Ill.)","24:24.6","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"19","Hird, Zach","SR-4","North Central (Ill.)","24:24.8","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"20","Buechner, Chris","SR-4","North Central (Ill.)","24:29.9","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"21","Pommier, Gabriel","SO-2","North Central (Ill.)","24:35.4","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"22","Norvell, Matthew","SR-4","North Central (Ill.)","24:53.1","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"23","Beutel, Alec","JR-3","North Central (Ill.)","24:58.1","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"24","Rohr, Thomas","FR-1","North Central (Ill.)","24:58.5","October 27, 2018
","CCIW Conference Cross Country Championships","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"25","Boelke, Matthew","FR-1","North Central (Ill.)","24:42.3","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"26","Jaskowiak, Jacob","SR-4","North Central (Ill.)","25:22.8","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"27","Anderson, Michael","SR-4","North Central (Ill.)","25:23.9","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"28","Cobb, Mikey","SR-4","North Central (Ill.)","25:35.6","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
